NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;AGE_AVE;;;;;;;;;;;
AT13;90000;90000;2002;20020101;41,14;;;;;;;;;;;
AT13;90000;90000;2003;20030101;41,00;;;;;;;;;;;
AT13;90000;90000;2004;20040101;40,91;;;;;;;;;;;
AT13;90000;90000;2005;20050101;40,84;;;;;;;;;;;
AT13;90000;90000;2006;20060101;40,85;;;;;;;;;;;
AT13;90000;90000;2007;20070101;40,93;;;;;;;;;;;
AT13;90000;90000;2008;20080101;40,96;;;;;;;;;;;
AT13;90000;90000;2009;20090101;41,01;;;;;;;;;;;
AT13;90000;90000;2010;20100101;41,04;;;;;;;;;;;
AT13;90000;90000;2011;20110101;41,05;;;;;;;;;;;
AT13;90000;90000;2012;20120101;41,09;;;;;;;;;;;
AT13;90000;90000;2013;20130101;41,04;;;;;;;;;;;
AT13;90000;90000;2014;20140101;41,01;;;;;;;;;;;
AT13;90000;90000;2015;20150101;40,96;;;;;;;;;;;
AT13;90000;90000;2016;20160101;40,79;;;;;;;;;;;
AT13;90000;90000;2017;20170101;40,77;;;;;;;;;;;
AT13;90000;90000;2018;20180101;40,79;;;;;;;;;;;
AT13;90000;90000;2019;20190101;40,91;;;;;;;;;;;
AT13;90000;90000;2020;20200101;41,02;;;;;;;;;;;
AT13;90000;90000;2021;20210101;41,14;;;;;;;;;;;
AT13;90000;90000;2022;20220101;41,18;;;;;;;;;;;
AT13;90000;90000;2023;20230101;41,04;;;;;;;;;;;
AT13;90000;90000;2024;20240101;41,08;;;;;;;;;;;
AT13;90100;90100;2002;20020101;46,19;;;;;;;;;;;
AT13;90100;90100;2003;20030101;46,17;;;;;;;;;;;
AT13;90100;90100;2004;20040101;46,21;;;;;;;;;;;
AT13;90100;90100;2005;20050101;46,12;;;;;;;;;;;
AT13;90100;90100;2006;20060101;46,19;;;;;;;;;;;
AT13;90100;90100;2007;20070101;46,39;;;;;;;;;;;
AT13;90100;90100;2008;20080101;46,53;;;;;;;;;;;
AT13;90100;90100;2009;20090101;46,87;;;;;;;;;;;
AT13;90100;90100;2010;20100101;46,92;;;;;;;;;;;
AT13;90100;90100;2011;20110101;46,89;;;;;;;;;;;
AT13;90100;90100;2012;20120101;46,95;;;;;;;;;;;
AT13;90100;90100;2013;20130101;47,13;;;;;;;;;;;
AT13;90100;90100;2014;20140101;47,16;;;;;;;;;;;
AT13;90100;90100;2015;20150101;46,82;;;;;;;;;;;
AT13;90100;90100;2016;20160101;46,81;;;;;;;;;;;
AT13;90100;90100;2017;20170101;46,80;;;;;;;;;;;
AT13;90100;90100;2018;20180101;46,90;;;;;;;;;;;
AT13;90100;90100;2019;20190101;47,10;;;;;;;;;;;
AT13;90100;90100;2020;20200101;47,45;;;;;;;;;;;
AT13;90100;90100;2021;20210101;47,50;;;;;;;;;;;
AT13;90100;90100;2022;20220101;47,77;;;;;;;;;;;
AT13;90100;90100;2023;20230101;46,90;;;;;;;;;;;
AT13;90100;90100;2024;20240101;47,15;;;;;;;;;;;
AT13;90200;90200;2002;20020101;41,01;;;;;;;;;;;
AT13;90200;90200;2003;20030101;40,71;;;;;;;;;;;
AT13;90200;90200;2004;20040101;40,51;;;;;;;;;;;
AT13;90200;90200;2005;20050101;40,33;;;;;;;;;;;
AT13;90200;90200;2006;20060101;40,21;;;;;;;;;;;
AT13;90200;90200;2007;20070101;40,18;;;;;;;;;;;
AT13;90200;90200;2008;20080101;40,12;;;;;;;;;;;
AT13;90200;90200;2009;20090101;40,09;;;;;;;;;;;
AT13;90200;90200;2010;20100101;39,98;;;;;;;;;;;
AT13;90200;90200;2011;20110101;40,04;;;;;;;;;;;
AT13;90200;90200;2012;20120101;39,98;;;;;;;;;;;
AT13;90200;90200;2013;20130101;39,99;;;;;;;;;;;
AT13;90200;90200;2014;20140101;39,76;;;;;;;;;;;
AT13;90200;90200;2015;20150101;39,59;;;;;;;;;;;
AT13;90200;90200;2016;20160101;39,46;;;;;;;;;;;
AT13;90200;90200;2017;20170101;39,42;;;;;;;;;;;
AT13;90200;90200;2018;20180101;39,55;;;;;;;;;;;
AT13;90200;90200;2019;20190101;39,78;;;;;;;;;;;
AT13;90200;90200;2020;20200101;39,92;;;;;;;;;;;
AT13;90200;90200;2021;20210101;40,12;;;;;;;;;;;
AT13;90200;90200;2022;20220101;40,22;;;;;;;;;;;
AT13;90200;90200;2023;20230101;40,03;;;;;;;;;;;
AT13;90200;90200;2024;20240101;40,07;;;;;;;;;;;
AT13;90300;90300;2002;20020101;41,82;;;;;;;;;;;
AT13;90300;90300;2003;20030101;41,78;;;;;;;;;;;
AT13;90300;90300;2004;20040101;41,64;;;;;;;;;;;
AT13;90300;90300;2005;20050101;41,53;;;;;;;;;;;
AT13;90300;90300;2006;20060101;41,58;;;;;;;;;;;
AT13;90300;90300;2007;20070101;41,64;;;;;;;;;;;
AT13;90300;90300;2008;20080101;41,80;;;;;;;;;;;
AT13;90300;90300;2009;20090101;41,81;;;;;;;;;;;
AT13;90300;90300;2010;20100101;41,81;;;;;;;;;;;
AT13;90300;90300;2011;20110101;41,66;;;;;;;;;;;
AT13;90300;90300;2012;20120101;41,69;;;;;;;;;;;
AT13;90300;90300;2013;20130101;41,59;;;;;;;;;;;
AT13;90300;90300;2014;20140101;41,55;;;;;;;;;;;
AT13;90300;90300;2015;20150101;41,40;;;;;;;;;;;
AT13;90300;90300;2016;20160101;41,22;;;;;;;;;;;
AT13;90300;90300;2017;20170101;41,25;;;;;;;;;;;
AT13;90300;90300;2018;20180101;41,30;;;;;;;;;;;
AT13;90300;90300;2019;20190101;41,36;;;;;;;;;;;
AT13;90300;90300;2020;20200101;41,54;;;;;;;;;;;
AT13;90300;90300;2021;20210101;41,43;;;;;;;;;;;
